Datum,Nicht indexiert,Indexiert,Impressionen
2025-11-13,,,1490
2025-11-14,,,886
2025-11-15,153,111,400
2025-11-16,152,112,566
2025-11-17,152,112,1204
2025-11-18,152,112,1383
2025-11-19,153,113,1642
2025-11-20,153,113,1351
2025-11-21,153,113,1113
2025-11-22,153,113,312
2025-11-23,155,123,676
2025-11-24,155,123,1465
2025-11-25,155,123,1527
2025-11-26,155,123,1369
2025-11-27,155,123,1372
2025-11-28,155,123,1086
2025-11-29,155,123,525
2025-11-30,155,123,769
2025-12-01,155,123,1398
2025-12-02,155,123,1365
2025-12-03,155,123,1382
2025-12-04,155,123,1180
2025-12-05,155,123,889
2025-12-06,155,123,322
2025-12-07,155,123,525
2025-12-08,155,123,1396
2025-12-09,155,123,1714
2025-12-10,155,123,1697
2025-12-11,155,123,1724
2025-12-12,155,123,1309
2025-12-13,155,123,423
2025-12-14,155,123,851
2025-12-15,155,123,1750
2025-12-16,157,123,2020
2025-12-17,157,123,1656
2025-12-18,157,123,1735
2025-12-19,157,123,1279
2025-12-20,157,123,633
2025-12-21,157,123,902
2025-12-22,157,123,1833
2025-12-23,157,123,1312
2025-12-24,657,119,818
2025-12-25,657,119,443
2025-12-26,657,119,497
2025-12-27,657,119,374
2025-12-28,657,119,545
2025-12-29,657,119,1686
2025-12-30,657,119,1695
2025-12-31,657,119,1640
2026-01-01,657,119,877
2026-01-02,657,119,2027
2026-01-03,657,119,493
2026-01-04,658,118,832
2026-01-05,658,118,1784
2026-01-06,658,118,1970
2026-01-07,651,127,2849
2026-01-08,651,127,2855
2026-01-09,651,127,5243
2026-01-10,651,127,2404
2026-01-11,651,126,3645
2026-01-12,651,126,3390
2026-01-13,651,126,2670
2026-01-14,866,154,4680
2026-01-15,866,154,2868
2026-01-16,866,154,2322
2026-01-17,866,154,1430
2026-01-18,878,154,1867
2026-01-19,878,154,2858
2026-01-20,878,154,3346
2026-01-21,383,154,4002
2026-01-22,383,154,3961
2026-01-23,383,154,3117
2026-01-24,383,154,1964
2026-01-25,364,177,2394
2026-01-26,364,177,3796
2026-01-27,364,177,3827
2026-01-28,352,196,3677
2026-01-29,352,196,3410
2026-01-30,352,196,3287
2026-01-31,352,196,3692
2026-02-01,345,207,4044
2026-02-02,345,207,4731
2026-02-03,345,207,3523
2026-02-04,354,200,3115
2026-02-05,354,200,3366
2026-02-06,354,200,2373
2026-02-07,354,200,1552
